subject,start,frames,gt_hr,pred_hr,abs_error,mape,snr
subject41,0,300,99.36993699369938,96.12961296129613,3.240324032403251,3.260869565217402,-4.432227925389805
subject41,300,300,98.28982898289829,98.82988298829883,0.5400540054005489,0.5494505494505585,15.064363848232638
subject41,600,300,103.6903690369037,103.15031503150315,0.5400540054005489,0.5208333333333418,8.959510263870877
subject41,900,300,106.93069306930693,106.93069306930693,0.0,0.0,8.548719080986867
subject41,1200,300,99.9099909990999,100.45004500450045,0.5400540054005489,0.5405405405405495,9.634326219951099
subject41,1500,300,97.20972097209722,97.20972097209722,0.0,0.0,4.603474892747331
subject41,1800,120,102.07020702070207,101.53015301530154,0.5400540054005347,0.5291005291005239,12.814507041180798
subject42,0,300,80.46804680468047,80.46804680468047,0.0,0.0,12.767859339550265
subject42,300,300,90.18901890189018,90.72907290729073,0.5400540054005489,0.5988023952095908,16.569178396591973
subject42,600,300,95.58955895589558,95.58955895589558,0.0,0.0,11.080250393682793
subject42,900,300,96.12961296129613,96.12961296129613,0.0,0.0,16.97602271775476
subject42,1200,300,98.28982898289829,98.28982898289829,0.0,0.0,16.481061861019697
subject42,1500,300,99.36993699369938,98.82988298829883,0.5400540054005489,0.5434782608695741,15.017377960270286
subject42,1800,120,95.58955895589558,100.45004500450045,4.860486048604869,5.084745762711874,13.620171356940649
subject43,0,300,96.12961296129613,97.74977497749775,1.6201620162016184,1.6853932584269644,7.739039100377695
subject43,300,300,103.6903690369037,103.6903690369037,0.0,0.0,10.360835437888586
subject43,600,300,93.42934293429343,92.34923492349236,1.0801080108010694,1.1560693641618383,12.47424785622098
subject43,900,300,96.12961296129613,96.12961296129613,0.0,0.0,15.65142729486328
subject43,1200,300,97.74977497749775,98.28982898289829,0.5400540054005347,0.5524861878452983,15.163346592500776
subject43,1500,300,104.23042304230424,104.23042304230424,0.0,0.0,14.313020091847006
subject43,1800,120,114.4914491449145,111.25112511251126,3.2403240324032367,2.8301886792452797,4.425479426886765
