subject,start,frames,gt_hr,pred_hr,abs_error,mape,snr
subject41,0,300,99.36993699369938,95.58955895589558,3.7803780378038,3.8043478260869756,-5.10679331737053
subject41,300,300,98.28982898289829,98.82988298829883,0.5400540054005489,0.5494505494505585,15.971619426064624
subject41,600,300,103.6903690369037,103.15031503150315,0.5400540054005489,0.5208333333333418,11.585796704733951
subject41,900,300,106.93069306930693,106.93069306930693,0.0,0.0,8.184924527678154
subject41,1200,300,99.9099909990999,100.99009900990099,1.0801080108010837,1.0810810810810847,9.627450488482417
subject41,1500,300,97.20972097209722,97.74977497749775,0.5400540054005347,0.55555555555555,4.550958832224684
subject41,1800,120,102.07020702070207,102.07020702070207,0.0,0.0,12.372248813667127
subject42,0,300,80.46804680468047,80.46804680468047,0.0,0.0,12.4378285241022
subject42,300,300,90.18901890189018,90.72907290729073,0.5400540054005489,0.5988023952095908,16.17396384515841
subject42,600,300,95.58955895589558,95.58955895589558,0.0,0.0,11.540652105505094
subject42,900,300,96.12961296129613,96.12961296129613,0.0,0.0,17.207364177638368
subject42,1200,300,98.28982898289829,98.28982898289829,0.0,0.0,17.1800344803798
subject42,1500,300,99.36993699369938,98.82988298829883,0.5400540054005489,0.5434782608695741,15.63008928481521
subject42,1800,120,95.58955895589558,99.9099909990999,4.32043204320432,4.519774011299435,14.640814649607572
subject43,0,300,96.12961296129613,97.74977497749775,1.6201620162016184,1.6853932584269644,8.613818625257757
subject43,300,300,103.6903690369037,104.23042304230424,0.5400540054005347,0.5208333333333282,8.696710664270931
subject43,600,300,93.42934293429343,92.88928892889288,0.5400540054005489,0.5780346820809343,11.60145646503313
subject43,900,300,96.12961296129613,96.12961296129613,0.0,0.0,15.744890709544903
subject43,1200,300,97.74977497749775,98.28982898289829,0.5400540054005347,0.5524861878452983,15.17914344952102
subject43,1500,300,104.23042304230424,104.23042304230424,0.0,0.0,13.17861853700105
subject43,1800,120,114.4914491449145,111.7911791179118,2.700270027002702,2.3584905660377373,3.814194421540992
subject44,0,300,82.62826282628264,81.008100810081,1.6201620162016326,1.960784313725505,11.704519134308917
subject44,300,300,79.38793879387939,78.84788478847885,0.5400540054005347,0.6802721088435307,15.711438459991097
subject44,600,300,90.18901890189018,89.64896489648966,0.5400540054005205,0.5988023952095591,8.626482361628135
subject44,900,300,88.56885688568858,89.64896489648966,1.0801080108010837,1.219512195121955,5.438938378797689
